task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
dilbert,logloss,0.0063,0.993735181110567,0.0196398054344688,0.999949702420014,0.992139552752274,-1.94989244439392,7,1.07848186500883
dna,logloss,0.0332712288795568,0.966486026127751,0.100899552000865,0.996607585532348,0.946340948390679,-3.05880557401192,13,0.669920606143074
dresses-sales,logloss,0.33,0.634729064039409,0.625870275920474,0.687027914614122,0.301470545745434,-0.227241615428191,4,180.42464718522
electricity,logloss,0.0530763994551217,0.945287871200837,0.138215882384695,0.987820742314893,0.891350760408612,-2.45280143337177,9,4.37000747829047
eucalyptus,logloss,0.29626064420585,0.6681665001665,0.685331656894152,0.932100288600289,0.621651557145451,-2.432874551557,4,0.0274551225993782
fabert,logloss,0.264058205240123,0.714911662305725,0.735900488762994,0.95649048794499,0.683755468935309,-2.1837058716033,14,0.750633130698232
first-order-theorem-proving,logloss,0.363846635217098,0.515298687500087,1.02883274629345,0.869320618136967,0.504789760786723,-2.75291359613059,16,86.3057615446851
har,logloss,0.00553435798730033,0.994706885900107,0.0142324453642754,0.999959300584148,0.993350843289923,-3.06536682384331,9,0.185706460379763
higgs,logloss,0.262988271290158,0.735632967884452,0.517991160635353,0.817857844160031,0.471843919144745,-4.44664646760612,16,399.093956191649
ilpd,logloss,0.262361192285213,0.621815860490538,0.464653818621888,0.812375742980119,0.27438879521764,-1.8555752042318,10,2.87819341985323
jannis,logloss,0.267361785415157,0.559219748071924,0.666277640906523,0.868331154192336,0.575442845719306,-4.44900943005156,16,42.5356003182
jasmine,logloss,0.180975735673722,0.819035794183445,0.383668062197599,0.890934942870441,0.658832818820938,-4.84954001475754,15,8.59307243129914
jm1,logloss,0.175379547480149,0.593873289854161,0.4156291834275,0.766352811783317,0.2981411181118,-4.37343282980366,16,6.89537878058269
jungle_chess_2pcs_raw_endgame_complete,logloss,0.126107215940058,0.824376588151924,0.225096653055923,0.980198744626058,0.779970889438515,-2.53822507112889,6,81.3867471688017
kc1,logloss,0.124703227262469,0.654199701530083,0.318899644098171,0.84428575326265,0.423239529927326,-1.65436956381365,16,11.6420597697783
kc2,logloss,0.149600870827286,0.725855770246014,0.328905444037405,0.865068894520114,0.516311577943425,-0.338852481041983,6,80.2754897602468
