task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
higgs,logloss,0.264742478327384,0.734014522236298,0.519586710416765,0.816604787785603,0.468432427948849,-5.44481074722498,11,0.856680868566036,0.731590906344354,-0.286891104198056,1.61880867870037,0.905735562508926
ilpd,logloss,0.265780245470485,0.618331966933115,0.491093651175663,0.773312815980051,0.274660785910606,-0.275968174405587,13,0.821308125532232,0.214948423486203,2.53937831156034,0.967280561048711,0.401436199015006
jannis,logloss,0.269869778583344,0.553139628540021,0.667610014709809,0.866836292084214,0.571606616546413,-5.80818141072336,11,0.732801228645258,0.621908657019958,-2.7206926449722,1.49000855906318,0.997382255154662
jasmine,logloss,0.175280016161253,0.824740492170022,0.385687740862998,0.891110700719187,0.66837264116884,-2.86682158208531,13,0.427346376446076,0.469985521258786,-0.415223677021329,-2.75048006146119,0.825848975055851
jm1,logloss,0.176941878679847,0.593257060315251,0.417502823606685,0.761154110479537,0.292678006747604,-5.57465264149036,19,0.927920313389041,0.240081571042538,0.0563264101878689,-4.80891680013889,0.954720717458986
jungle_chess_2pcs_raw_endgame_complete,logloss,0.126107156190534,0.821965186324636,0.216816828439813,0.980251267628539,0.779831430019362,-1.26409013222361,19,0.672871266794391,0.987590357032605,-2.10011854148066,0.66733883377321,0.999715111474507
kc1,logloss,0.133714737079666,0.628735792779658,0.324105500925152,0.832817733863651,0.363668966837243,-0.0460762510242711,4,0.624954737653025,0.819561107037589,4.70904507770807,-4.1404193460466,0.478637547185645
kc2,logloss,0.136030478955007,0.741527821771724,0.321217298221965,0.869089853236195,0.555221457725908,-0.36993767117662,15,0.323479143274017,0.133852810203098,1.77574066015794,-3.98072376215337,0.174973356793635
kr-vs-kp,logloss,0.00438185736677116,0.995633602552563,0.0146804919879072,0.999856648527953,0.991287209294002,-0.0637201047478625,8,0.8237412474351,0.588999089202844,-4.70269367405247,-5.31073385849584,0.82088344655931
madelon,logloss,0.134615384615385,0.865384615384615,0.333065747015593,0.932076923076923,0.731277364647521,-4.49637885005233,12,0.935807395726442,0.438591505889781,-6.41877301451278,-5.44692591478056,0.989023217814974
mfeat-factors,logloss,0.024,0.976,0.0868363708318213,0.999594444444444,0.973454260544906,-2.40913314767356,2,0.565364980488084,0.40525861592032,1.22264842841745,-5.26684582891526,0.750058714626357
mfeat-fourier,logloss,0.148,0.852,0.378466003507741,0.988405555555556,0.835982460444952,-2.23926478975667,3,0.406333577819169,0.835983347264119,-6.13228016353269,-6.41809916308137,0.997680737241171
mfeat-karhunen,logloss,0.0335,0.9665,0.122556849460055,0.999483333333333,0.962924393689966,-3.87911441161132,3,0.274401128152385,0.621545859961771,-2.14150728917921,-4.9188064362466,0.650314405933023
mfeat-morphological,logloss,0.265,0.735,0.616414463148219,0.971716666666667,0.706863194866426,-1.43114377314321,1,0.64137404023204,0.955267075682059,-2.18931550214308,-3.37631688522005,0.438987626880407
mfeat-pixel,logloss,0.0205,0.9795,0.083218019418333,0.999838888888889,0.977311651495141,-3.75427279077234,18,0.107901934441179,0.810355594498105,-0.372854451638442,-5.76006458842691,0.768300308543257
mfeat-zernike,logloss,0.2095,0.7905,0.436734235927755,0.977738888888889,0.767729068937735,-3.82668891692819,2,0.863212436856702,0.928241525520571,-1.27500997561717,-6.80103197613857,0.212454482913017
mnist_784,logloss,0.0180857142857143,0.981791148912273,0.0588414318244007,0.999838815832882,0.979902176159947,-3.79843303462509,5,0.318233250803314,0.43157231095247,0.526625349444183,-5.61618453923319,0.73624251014553
nomao,logloss,0.0239083637962877,0.969120701660483,0.0629828907162243,0.996867011899598,0.9412780606515,-4.85253743241693,18,0.101192416041158,0.991841019201092,-3.35112739572155,-2.60758102391974,0.738402658817358
numerai28.6,logloss,0.477720099667774,0.521318174954152,0.691424348489137,0.53224491232275,0.0434161766712874,-1.83655054645938,4,0.911587112443522,0.457591983489692,-2.80420967628819,3.63400342786363,0.353781602042727
optdigits,logloss,0.0142348754448399,0.98576249204516,0.0477220558920823,0.999867728289671,0.984214179351978,-4.45327895712137,4,0.278231681580655,0.653796694008634,-2.83899987681781,-5.25376889987608,0.804189072339796
ozone-level-8hr,logloss,0.0501182658491799,0.646842534482147,0.134003927224931,0.936974900719782,0.449243267904512,-2.09122117395848,5,0.28442490848247,0.596141867549159,-3.31008391618328,1.3508526205561,0.431267437036149
pc1,logloss,0.0604095004095004,0.617068974714606,0.162932214421588,0.895269657526939,0.384298843678294,-1.31527815946929,5,0.981046747928485,0.416533204191364,0.994819419327417,-0.702681970950476,0.395058787753806
pc3,logloss,0.0953454189122979,0.609129939209726,0.243712235545361,0.868124525075988,0.323625413174017,-2.63783735430919,20,0.922909047361463,0.46307102991268,-2.52674335034171,-3.04689200345293,0.66888192910701
pc4,logloss,0.0788663202645253,0.776141237745098,0.165145669086232,0.957523999183007,0.604121196856834,-1.59580683968589,2,0.652359749143943,0.688519073231146,-6.82362201330329,-2.58531471928142,0.626878034905531
pendigits,logloss,0.00591281330134833,0.994085996369101,0.0240883679630807,0.99993159825736,0.993435444141109,-3.70453213021503,5,0.522194572421722,0.924579569255002,-6.76737795640869,-5.57831507116042,0.621132173226215
phoneme,logloss,0.0895601423974807,0.888900449272119,0.217155451012419,0.964651578884044,0.783066254439888,-4.13674627079323,20,0.965786742814817,0.925550700956956,-4.41988010650699,-3.46103998923314,0.88692952641286
qsar-biodeg,logloss,0.114636118598383,0.861871980676329,0.281952179616687,0.942504650169246,0.740532633935168,-0.795140457525442,5,0.305501953768544,0.688699521776289,4.30351389308326,-2.86556102375201,0.83890399900265
riccardo,logloss,0.002,0.998466666666667,0.00932382245412843,0.999818666666667,0.994692266052945,-1.57927577349881,19,0.759901222889312,0.184818664821796,1.64217633077335,-6.39236043611058,0.995037137996405
robert,logloss,0.4423,0.558479225631493,1.25048427998283,0.933660584027949,0.508723673815011,-4.43134001341798,4,0.186926677636802,0.18249079384841,1.24419666522058,-6.06004118123423,0.575109993177466
satimage,logloss,0.0738724727838258,0.906464030776008,0.198396442756537,0.993941265054103,0.908971173394351,-3.91199111236697,7,0.990274672000669,0.134093951061368,0.278175142626608,-3.1365291112983,0.408786175912246
segment,logloss,0.0601731601731602,0.93982683982684,0.156203856960625,0.996593642048187,0.930051142900253,-4.14598054955607,6,0.452481140871532,0.382041261927225,-6.38440925491727,-5.6203941718291,0.78182226526551
semeion,logloss,0.048309748427673,0.951563725490196,0.156035795868718,0.999070601851852,0.946721781006252,-3.29114060810177,4,0.128687912900932,0.174316805880517,-0.32652053375114,-6.52295825524998,0.994759162026457
shuttle,logloss,8.62068965517241e-05,0.954282580766459,0.000338603285323662,1,0.999757568273872,-3.90375253419919,15,0.848431890644133,0.64233028399758,-5.17236486325224,-3.91784717071008,0.917757965112105
sick,logloss,0.00928101272928859,0.942297654139032,0.0250399416421687,0.997940913515153,0.917139029505926,-3.19426151048577,17,0.974516499158926,0.476563229621388,-1.69424670462307,-2.86800393663508,0.996458420855924
spambase,logloss,0.0410742242761483,0.956081841955524,0.112159571736888,0.990402743776256,0.914036863940708,-2.94933120250376,19,0.906439763284288,0.125790464994498,-4.14310138970754,-4.69752835468041,0.9646936169127
splice,logloss,0.0269592476489028,0.970120024412986,0.0910650070046098,0.997027356807784,0.956253201777407,-5.15700069710366,18,0.187573365564458,0.937646615575068,-2.68207314497257,-6.75692023329964,0.704278394603171
steel-plates-fault,logloss,0.189587628865979,0.816461039984748,0.477798352065773,0.978904504532752,0.755346640161772,-2.71368706628137,6,0.594877792941406,0.844216589839198,0.174747592717574,-1.49833285516546,0.98326292145066
