task,measure,ce,bacc,logloss,auc,mcc,svm.cost,svm.gamma
blood-transfusion-service-center,bacc,0.207225225225225,0.616675266597867,0.494006565608227,0.699082674005275,0.325597598995463,-0.262287392518718,-0.76722059866093
breast-w,bacc,0.0314699792960663,0.97100845410628,0.124492149228829,0.994015136876006,0.93270015283397,-8.38053650717701,-7.50391368754669
car,bacc,0.0173477617959403,0.967779807911387,0.0694516500507917,0.9985261491755,0.96254205135717,9.20257650415579,-4.13526979159487
christine,bacc,0.259873406497466,0.740118901189012,0.54228853312277,0.805347820144868,0.480886978589732,0.647101418518557,-7.54236847023753
churn,bacc,0.0524,0.850072890860641,0.178659655005597,0.922350484868336,0.771503423153117,1.33912156945323,-3.08298108630857
climate-model-simulation-crashes,bacc,0.111111111111111,0.889387755102041,0.267234913113521,0.949897959183673,0.598621864614516,-3.68836861784331,-8.94227126059993
cmc,bacc,0.449388674388674,0.513079309473996,0.941421958524753,0.739700957980063,0.291673987659521,1.33829557469255,-3.99416813403265
cnae-9,bacc,0.196296296296296,0.803703703703704,0.722942638961214,0.990046296296296,0.78938728166771,5.99354794602578,-5.46281926323115
credit-approval,bacc,0.136231884057971,0.86994188324409,0.348625493605579,0.926077082698475,0.737295252105459,4.35577352532158,-6.56605061901883
credit-g,bacc,0.235,0.716904761904762,0.52685839168148,0.786380952380952,0.444153036518936,-7.02640741550385,-7.73861058451552
cylinder-bands,bacc,0.161111111111111,0.838766256534489,0.516883051566229,0.854348822198138,0.678190098080342,1.96056074708049,-1.84093362373733
diabetes,bacc,0.234347231715653,0.752558404558405,0.538402097138583,0.820119658119658,0.498249712674091,-5.39472858416067,-9.18244497002184
dilbert,bacc,0.6408,0.355327826903335,1.29877901156114,0.599906314834574,0.194125003919827,-0.498306692650097,-7.02478637579245
dna,bacc,0.0342116677510301,0.9637573030788,0.117756001021184,0.995873275319516,0.944636491261782,0.195086157365163,-6.10058390394176
dresses-sales,bacc,0.41,0.572988505747127,0.93087879583445,0.583087027914614,0.149927986794419,-1.30201242700791,-8.60967679934394
electricity,bacc,0.139433037837021,0.854740824894897,0.343353831786873,0.925125043104617,0.713650452814644,3.03509696197766,0.394416763535722
eucalyptus,bacc,0.2880970011107,0.677746253746254,0.768900344239156,0.92975160529706,0.632446998679983,7.61514783450417,-7.3630452474429
fabert,bacc,0.322085609125978,0.648673557250129,0.913650985994256,0.930860738846951,0.614053646155953,-0.682706879852781,-6.68381046868406
first-order-theorem-proving,bacc,0.406341527336521,0.453954099411831,1.18293707510704,0.834641820504661,0.438340062401516,4.40972481617992,-1.77835703970366
har,bacc,0.00951541226754225,0.991094739192667,0.0287485800307605,0.999809416220346,0.988563913273403,3.7811560431319,-6.5963170229597
ilpd,bacc,0.270952659263589,0.537100541436087,0.566237828145414,0.661675035868006,0.150518291441898,1.8434174723167,-1.66649219432893
jasmine,bacc,0.198078606540818,0.80193288590604,0.444273681976454,0.859692686515622,0.612358702040427,5.20483291664332,-9.17494782882741
jm1,bacc,0.188241202128234,0.534817365616368,0.452786977049677,0.716415932743924,0.167322541606822,2.14233254998061,3.11224857072849
jungle_chess_2pcs_raw_endgame_complete,bacc,0.136883864153084,0.81263622317057,0.273278741948042,0.972550275194859,0.760687370794072,8.18535431707537,-2.05162255531937
kc1,bacc,0.139878131347326,0.592611612365257,0.384888451388277,0.705258740106482,0.30628708685831,0.0551375059532822,-1.92536671561982
kc2,bacc,0.162699564586357,0.687018266286559,0.387119369442729,0.845849435117728,0.449616850204001,-8.05026510385015,-7.71611087250633
kr-vs-kp,bacc,0.00375391849529781,0.996240658517846,0.0192393151882047,0.999622570914967,0.992504961270955,7.44768396200794,-5.58603388409729
madelon,bacc,0.395,0.605,0.660881154135213,0.643201183431953,0.210501469925665,2.19537895126734,-5.05819465079879
mfeat-factors,bacc,0.0165,0.9835,0.0995440129898227,0.999844444444444,0.981753505489504,8.99469475129502,-6.21223251293857
mfeat-fourier,bacc,0.1485,0.8515,0.393645027151179,0.987738888888889,0.835562981006781,2.89701760144156,-5.11396150120681
mfeat-karhunen,bacc,0.02,0.98,0.113634774140474,0.999833333333333,0.977859254689872,8.43376047797291,-4.20480578753879
mfeat-morphological,bacc,0.222,0.778,0.623496565488603,0.976411111111111,0.754384337633903,1.22387762364104,0.862613015396298
mfeat-pixel,bacc,0.017,0.983,0.093566039677894,0.999883333333333,0.981192685374066,5.46033817031225,-5.15004191941434
mfeat-zernike,bacc,0.098,0.902,0.304914097592685,0.993916666666667,0.891438129753203,3.43922914100259,-3.35869991645955
nomao,bacc,0.0356301988439147,0.956557438266693,0.0974274719740162,0.992343948362831,0.912770930802188,4.3402257262115,-6.07743220865337
optdigits,bacc,0.0133451957295374,0.986652438305796,0.0632145431093622,0.999884956644015,0.985198967181379,3.02335671809166,-6.81642813101855
ozone-level-8hr,bacc,0.050908779683172,0.675563548204092,0.152273746382625,0.901841891820019,0.469537890720819,-2.43088455015627,-4.40402064061548
pc1,bacc,0.0577149877149877,0.61186319748213,0.200543081244822,0.830808572495466,0.36952452998127,1.55709345461593,0.631541366024158
pc3,bacc,0.0946880614078066,0.562415780141844,0.282664119968738,0.807033308004053,0.266241440469108,6.4173893824712,-0.666086650051228
pc4,bacc,0.0843410486537553,0.698360906862745,0.241711436134098,0.901886744281046,0.541491765421667,0.907971295621734,-4.88898385829175
pendigits,bacc,0.00282000165439656,0.997156093679646,0.0180320382979934,0.999968913210578,0.996869193069709,2.41264739695698,-2.30457020129718
phoneme,bacc,0.0964051482166085,0.872822221244624,0.26690760418769,0.940392961883188,0.763423795153159,0.496943973837378,2.05667198328058
qsar-biodeg,bacc,0.11277628032345,0.866673567977916,0.319058588768643,0.933463390186993,0.745563735675351,4.55077222774817,-3.9123873315746
satimage,bacc,0.0712286158631415,0.912482001018002,0.206892839426476,0.993523448979243,0.912257200858373,1.92231780168679,-1.7054252050792
segment,bacc,0.0683982683982684,0.931601731601732,0.223625129644622,0.995150640605186,0.9207868053364,8.67151477231689,-3.11785559479716
semeion,bacc,0.0370243710691824,0.962938725490196,0.155930029869733,0.999448188997821,0.959123119265737,9.05311185390048,-5.3586368518377
shuttle,bacc,0.0011551724137931,0.833247716697144,0.00832066849327097,0.997362381003693,0.996748055315877,8.10374768251495,-5.22829305667779
sick,bacc,0.0318155025051577,0.821344229711356,0.116247712700561,0.943052924729248,0.702413503433358,-4.75680236428576,-6.2980416937616
spambase,bacc,0.0578119400169763,0.936865067729287,0.186971917880961,0.977093324136228,0.878745217315603,4.03753023630675,-5.28056346799141
splice,bacc,0.0338557993730408,0.962904189096326,0.121100742187213,0.995809423287003,0.945088979856949,6.28520379256671,-4.29056075667904
steel-plates-fault,bacc,0.219994713190589,0.788505653275667,0.603963788053196,0.968734320292454,0.71582956935846,1.55287117084033,-2.59848333854689
sylvine,bacc,0.0634263066520468,0.936571315661478,0.185894640987104,0.975299137575617,0.874640137541229,5.65084113305482,-5.84156076668366
tic-tac-toe,bacc,0.0167105263157895,0.98015010500779,0.098568482709464,0.993323060732928,0.963570975711054,8.00111567725625,-3.03335436517699
vehicle,bacc,0.127717086834734,0.873543517885623,0.33213069984917,0.97180732725162,0.831378698209614,6.65689797802111,-4.3081693717366
wall-robot-navigation,bacc,0.0679994623113889,0.925064017687351,0.213036514450343,0.991592958855211,0.897370680919597,4.50862360509967,-2.92395271034226
wdbc,bacc,0.0175438596491228,0.978499278499278,0.0787460225012411,0.995122655122655,0.962657215073624,0.939672843425073,-5.77436313900879
wilt,bacc,0.0349203497424841,0.956223406382504,0.111211126686048,0.991620396538794,0.75785400441249,-7.83017614966996,-2.64715975975941
APSFailure,logloss,0.00782894736842105,0.838221680160935,0.0251342061314268,0.973804508006612,0.759271030579408,2.59301234184079,-6.21428717431605
Amazon_employee_access,logloss,0.0542280567227165,0.602364601936974,0.193050828348871,0.687035982773339,0.332228689580896,2.13905740469089,2.09579602720873
Australian,logloss,0.136231884057971,0.862456575682382,0.327385428114042,0.934661965086413,0.726237022227854,3.9492351538942,-5.27298687494385
Bioresponse,logloss,0.213008510638298,0.784119008821329,0.466666753082534,0.859486979687085,0.570623760475738,0.608193955409797,-7.82118355518819
GesturePhaseSegmentationProcessed,logloss,0.416185512882041,0.486799636974095,1.09013251332505,0.859859143641939,0.446857940458126,2.57305347020094,-1.90007310988253
Internet-Advertisements,logloss,0.0271416051316476,0.917694521533559,0.097507929287606,0.967037465309898,0.88420389212811,1.97706845753221,-8.81849339231572
KDDCup09_appetency,logloss,0.0178,0.5,0.0893489430112594,0.5,0,-5.38718785072594,1.12276662758875
MiceProtein,logloss,0.00185185185185185,0.998273809523809,0.0424495308318456,1,0.997899903448348,4.19752204908963,-5.47248166016638
PhishingWebsites,logloss,0.0335596867763659,0.965215163595943,0.0956062287260932,0.994068324633537,0.932080097718977,5.28048139990992,-4.9982090978458
adult,logloss,0.150894693427959,0.754193675327042,0.326475366242261,0.90194062494119,0.558111929591518,4.20095602037076,-9.1641124703099
analcatdata_authorship,logloss,0.00355742296918768,0.997552083333333,0.0239865662821888,1,0.994864788935323,5.43255777947227,-4.91367187149671
analcatdata_dmft,logloss,0.784050632911392,0.215637973137973,1.74719330422155,0.619686560768292,0.0588420747691381,2.32230891581562,-7.94799698177408
balance-scale,logloss,0.00481310803891449,0.996551724137931,0.0611305144317506,1,0.991740233447101,8.22175468714488,-4.80431149731441
bank-marketing,logloss,0.101966409446466,0.644315077038677,0.261856023566182,0.868259785854992,0.395900007471268,1.7029737047482,-2.0874253702532
banknote-authentication,logloss,0,1,0.00186878131689573,1,1,5.94327683039281,1.48408619112557
blood-transfusion-service-center,logloss,0.231261261261261,0.550653594771242,0.492445876697581,0.743515651874785,0.174247525123875,-4.52422199606182,-7.08548955907004
breast-w,logloss,0.0357556935817805,0.960856280193237,0.0908987449509416,0.994837761674718,0.922292499107319,1.84227591186522,-6.10018793134582
car,logloss,0.0150356230676166,0.962601493402929,0.0437024244139756,0.998911091187236,0.967431931026178,9.02859957833017,-2.82844151683925
christine,logloss,0.262830210557189,0.737163454967883,0.535586194175214,0.810158610565195,0.474921175620409,0.169097016595585,-7.07398671491939
churn,logloss,0.052,0.845594257800285,0.173467500466851,0.927030194720663,0.772163231242222,3.98677744331026,-4.21370954176762
climate-model-simulation-crashes,logloss,0.0388888888888889,0.802,0.123909340267921,0.949438775510204,0.715006886261399,-0.263266972750947,-8.54140130818641
cmc,logloss,0.46635870564442,0.495927470168457,0.933397832411747,0.743428124259783,0.265618812023918,7.06839959627411,-7.51325470360169
