nrow,nfeatures,n_layers,neurons,p,opt_lr,opt_weight_decay,epochs,rss_kb,rss_mib
206,50,4,16,0.2,1e-05,1e-06,10,650416,635.17187500000000000000
379,50,4,16,0.2,1e-05,1e-06,10,647792,632.60937500000000000000
695,50,4,16,0.2,1e-05,1e-06,10,653008,637.70312500000000000000
1274,50,4,16,0.2,1e-05,1e-06,10,652464,637.17187500000000000000
2335,50,4,16,0.2,1e-05,1e-06,10,639376,624.39062500000000000000
4281,50,4,16,0.2,1e-05,1e-06,10,664384,648.81250000000000000000
7847,50,4,16,0.2,1e-05,1e-06,10,665984,650.37500000000000000000
14384,50,4,16,0.2,1e-05,1e-06,10,684528,668.48437500000000000000
26366,50,4,16,0.2,1e-05,1e-06,10,716496,699.70312500000000000000
48329,50,4,16,0.2,1e-05,1e-06,10,701616,685.17187500000000000000
88586,50,4,16,0.2,1e-05,1e-06,10,719376,702.51562500000000000000
162377,50,4,16,0.2,1e-05,1e-06,10,748480,730.93750000000000000000
297635,50,4,16,0.2,1e-05,1e-06,10,701808,685.35937500000000000000
545559,50,4,16,0.2,1e-05,1e-06,10,777584,759.35937500000000000000
1e+06,50,4,16,0.2,1e-05,1e-06,10,755824,738.10937500000000000000
10,50,8,16,0.2,1e-05,1e-06,10,615232,600.81250000000000000000
18,50,8,16,0.2,1e-05,1e-06,10,621184,606.62500000000000000000
33,50,8,16,0.2,1e-05,1e-06,10,619424,604.90625000000000000000
61,50,8,16,0.2,1e-05,1e-06,10,643056,627.98437500000000000000
112,50,8,16,0.2,1e-05,1e-06,10,643920,628.82812500000000000000
206,50,8,16,0.2,1e-05,1e-06,10,618320,603.82812500000000000000
379,50,8,16,0.2,1e-05,1e-06,10,648816,633.60937500000000000000
695,50,8,16,0.2,1e-05,1e-06,10,605744,591.54687500000000000000
1274,50,8,16,0.2,1e-05,1e-06,10,655008,639.65625000000000000000
2335,50,8,16,0.2,1e-05,1e-06,10,660864,645.37500000000000000000
4281,50,8,16,0.2,1e-05,1e-06,10,673408,657.62500000000000000000
7847,50,8,16,0.2,1e-05,1e-06,10,676672,660.81250000000000000000
14384,50,8,16,0.2,1e-05,1e-06,10,720736,703.84375000000000000000
26366,50,8,16,0.2,1e-05,1e-06,10,668384,652.71875000000000000000
48329,50,8,16,0.2,1e-05,1e-06,10,697536,681.18750000000000000000
88586,50,8,16,0.2,1e-05,1e-06,10,751584,733.96875000000000000000
162377,50,8,16,0.2,1e-05,1e-06,10,734512,717.29687500000000000000
297635,50,8,16,0.2,1e-05,1e-06,10,665184,649.59375000000000000000
545559,50,8,16,0.2,1e-05,1e-06,10,802384,783.57812500000000000000
1e+06,50,8,16,0.2,1e-05,1e-06,10,840832,821.12500000000000000000
10,50,16,16,0.2,1e-05,1e-06,10,636400,621.48437500000000000000
18,50,16,16,0.2,1e-05,1e-06,10,643200,628.12500000000000000000
33,50,16,16,0.2,1e-05,1e-06,10,638048,623.09375000000000000000
61,50,16,16,0.2,1e-05,1e-06,10,652560,637.26562500000000000000
112,50,16,16,0.2,1e-05,1e-06,10,650032,634.79687500000000000000
206,50,16,16,0.2,1e-05,1e-06,10,641120,626.09375000000000000000
379,50,16,16,0.2,1e-05,1e-06,10,653648,638.32812500000000000000
695,50,16,16,0.2,1e-05,1e-06,10,643936,628.84375000000000000000
1274,50,16,16,0.2,1e-05,1e-06,10,654064,638.73437500000000000000
2335,50,16,16,0.2,1e-05,1e-06,10,660720,645.23437500000000000000
4281,50,16,16,0.2,1e-05,1e-06,10,661184,645.68750000000000000000
7847,50,16,16,0.2,1e-05,1e-06,10,669904,654.20312500000000000000
14384,50,16,16,0.2,1e-05,1e-06,10,693824,677.56250000000000000000
26366,50,16,16,0.2,1e-05,1e-06,10,751920,734.29687500000000000000
48329,50,16,16,0.2,1e-05,1e-06,10,715616,698.84375000000000000000
88586,50,16,16,0.2,1e-05,1e-06,10,764944,747.01562500000000000000
162377,50,16,16,0.2,1e-05,1e-06,10,826480,807.10937500000000000000
297635,50,16,16,0.2,1e-05,1e-06,10,937424,915.45312500000000000000
545559,50,16,16,0.2,1e-05,1e-06,10,866176,845.87500000000000000000
1e+06,50,16,16,0.2,1e-05,1e-06,10,801632,782.84375000000000000000
10,50,2,32,0.2,1e-05,1e-06,10,600768,586.68750000000000000000
18,50,2,32,0.2,1e-05,1e-06,10,597856,583.84375000000000000000
33,50,2,32,0.2,1e-05,1e-06,10,590864,577.01562500000000000000
61,50,2,32,0.2,1e-05,1e-06,10,611232,596.90625000000000000000
112,50,2,32,0.2,1e-05,1e-06,10,614496,600.09375000000000000000
