nrow,nfeatures,n_blocks,d_block,d_hidden_multiplier,dropout1,dropout2,lr,weight_decay,epochs,rss_kb,rss_mib
1e+05,1,4,512,1,0.2,0.2,1e-05,1e-06,10,962176,939.62500000000000000000
100,10,4,512,1,0.2,0.2,1e-05,1e-06,10,787296,768.84375000000000000000
1000,10,4,512,1,0.2,0.2,1e-05,1e-06,10,940272,918.23437500000000000000
5000,10,4,512,1,0.2,0.2,1e-05,1e-06,10,910144,888.81250000000000000000
10000,10,4,512,1,0.2,0.2,1e-05,1e-06,10,936080,914.14062500000000000000
50000,10,4,512,1,0.2,0.2,1e-05,1e-06,10,970224,947.48437500000000000000
1e+05,10,4,512,1,0.2,0.2,1e-05,1e-06,10,978768,955.82812500000000000000
100,50,4,512,1,0.2,0.2,1e-05,1e-06,10,757680,739.92187500000000000000
1000,50,4,512,1,0.2,0.2,1e-05,1e-06,10,917520,896.01562500000000000000
5000,50,4,512,1,0.2,0.2,1e-05,1e-06,10,949824,927.56250000000000000000
10000,50,4,512,1,0.2,0.2,1e-05,1e-06,10,946096,923.92187500000000000000
50000,50,4,512,1,0.2,0.2,1e-05,1e-06,10,969696,946.96875000000000000000
1e+05,50,4,512,1,0.2,0.2,1e-05,1e-06,10,972224,949.43750000000000000000
100,100,4,512,1,0.2,0.2,1e-05,1e-06,10,769536,751.50000000000000000000
1000,100,4,512,1,0.2,0.2,1e-05,1e-06,10,884688,863.95312500000000000000
5000,100,4,512,1,0.2,0.2,1e-05,1e-06,10,931920,910.07812500000000000000
10000,100,4,512,1,0.2,0.2,1e-05,1e-06,10,942672,920.57812500000000000000
50000,100,4,512,1,0.2,0.2,1e-05,1e-06,10,938352,916.35937500000000000000
1e+05,100,4,512,1,0.2,0.2,1e-05,1e-06,10,948432,926.20312500000000000000
100,500,4,512,1,0.2,0.2,1e-05,1e-06,10,777200,758.98437500000000000000
1000,500,4,512,1,0.2,0.2,1e-05,1e-06,10,890528,869.65625000000000000000
5000,500,4,512,1,0.2,0.2,1e-05,1e-06,10,947824,925.60937500000000000000
10000,500,4,512,1,0.2,0.2,1e-05,1e-06,10,979344,956.39062500000000000000
50000,500,4,512,1,0.2,0.2,1e-05,1e-06,10,959904,937.40625000000000000000
1e+05,500,4,512,1,0.2,0.2,1e-05,1e-06,10,971504,948.73437500000000000000
100,1000,4,512,1,0.2,0.2,1e-05,1e-06,10,743536,726.10937500000000000000
1000,1000,4,512,1,0.2,0.2,1e-05,1e-06,10,879888,859.26562500000000000000
5000,1000,4,512,1,0.2,0.2,1e-05,1e-06,10,943504,921.39062500000000000000
10000,1000,4,512,1,0.2,0.2,1e-05,1e-06,10,939616,917.59375000000000000000
50000,1000,4,512,1,0.2,0.2,1e-05,1e-06,10,961280,938.75000000000000000000
1e+05,1000,4,512,1,0.2,0.2,1e-05,1e-06,10,946064,923.89062500000000000000
100,1,4,1024,1,0.2,0.2,1e-05,1e-06,10,958480,936.01562500000000000000
1000,1,4,1024,1,0.2,0.2,1e-05,1e-06,10,1072736,1047.59375000000000000000
5000,1,4,1024,1,0.2,0.2,1e-05,1e-06,10,1110624,1084.59375000000000000000
10000,1,4,1024,1,0.2,0.2,1e-05,1e-06,10,1110000,1083.98437500000000000000
50000,1,4,1024,1,0.2,0.2,1e-05,1e-06,10,1103792,1077.92187500000000000000
1e+05,1,4,1024,1,0.2,0.2,1e-05,1e-06,10,1087712,1062.21875000000000000000
100,10,4,1024,1,0.2,0.2,1e-05,1e-06,10,938016,916.03125000000000000000
1000,10,4,1024,1,0.2,0.2,1e-05,1e-06,10,1102176,1076.34375000000000000000
5000,10,4,1024,1,0.2,0.2,1e-05,1e-06,10,1077696,1052.43750000000000000000
10000,10,4,1024,1,0.2,0.2,1e-05,1e-06,10,1090336,1064.78125000000000000000
50000,10,4,1024,1,0.2,0.2,1e-05,1e-06,10,1083264,1057.87500000000000000000
1e+05,10,4,1024,1,0.2,0.2,1e-05,1e-06,10,1126768,1100.35937500000000000000
100,50,4,1024,1,0.2,0.2,1e-05,1e-06,10,931984,910.14062500000000000000
1000,50,4,1024,1,0.2,0.2,1e-05,1e-06,10,1071360,1046.25000000000000000000
5000,50,4,1024,1,0.2,0.2,1e-05,1e-06,10,1064240,1039.29687500000000000000
10000,50,4,1024,1,0.2,0.2,1e-05,1e-06,10,1108848,1082.85937500000000000000
50000,50,4,1024,1,0.2,0.2,1e-05,1e-06,10,1116448,1090.28125000000000000000
1e+05,50,4,1024,1,0.2,0.2,1e-05,1e-06,10,1110992,1084.95312500000000000000
100,100,4,1024,1,0.2,0.2,1e-05,1e-06,10,948400,926.17187500000000000000
1000,100,4,1024,1,0.2,0.2,1e-05,1e-06,10,1112656,1086.57812500000000000000
5000,100,4,1024,1,0.2,0.2,1e-05,1e-06,10,1123040,1096.71875000000000000000
10000,100,4,1024,1,0.2,0.2,1e-05,1e-06,10,1154880,1127.81250000000000000000
50000,100,4,1024,1,0.2,0.2,1e-05,1e-06,10,1142736,1115.95312500000000000000
1e+05,100,4,1024,1,0.2,0.2,1e-05,1e-06,10,1106224,1080.29687500000000000000
100,500,4,1024,1,0.2,0.2,1e-05,1e-06,10,915264,893.81250000000000000000
1000,500,4,1024,1,0.2,0.2,1e-05,1e-06,10,1031184,1007.01562500000000000000
5000,500,4,1024,1,0.2,0.2,1e-05,1e-06,10,1032016,1007.82812500000000000000
10000,500,4,1024,1,0.2,0.2,1e-05,1e-06,10,1071616,1046.50000000000000000000
50000,500,4,1024,1,0.2,0.2,1e-05,1e-06,10,1073408,1048.25000000000000000000
1e+05,500,4,1024,1,0.2,0.2,1e-05,1e-06,10,1085104,1059.67187500000000000000
100,1000,4,1024,1,0.2,0.2,1e-05,1e-06,10,930240,908.43750000000000000000
1000,1000,4,1024,1,0.2,0.2,1e-05,1e-06,10,1079968,1054.65625000000000000000
5000,1000,4,1024,1,0.2,0.2,1e-05,1e-06,10,1051424,1026.78125000000000000000
10000,1000,4,1024,1,0.2,0.2,1e-05,1e-06,10,1044272,1019.79687500000000000000
50000,1000,4,1024,1,0.2,0.2,1e-05,1e-06,10,1112400,1086.32812500000000000000
1e+05,1000,4,1024,1,0.2,0.2,1e-05,1e-06,10,1151632,1124.64062500000000000000
100,1,4,64,2,0.2,0.2,1e-05,1e-06,10,698528,682.15625000000000000000
1000,1,4,64,2,0.2,0.2,1e-05,1e-06,10,828336,808.92187500000000000000
5000,1,4,64,2,0.2,0.2,1e-05,1e-06,10,895424,874.43750000000000000000
10000,1,4,64,2,0.2,0.2,1e-05,1e-06,10,831248,811.76562500000000000000
50000,1,4,64,2,0.2,0.2,1e-05,1e-06,10,842688,822.93750000000000000000
1e+05,1,4,64,2,0.2,0.2,1e-05,1e-06,10,867456,847.12500000000000000000
100,10,4,64,2,0.2,0.2,1e-05,1e-06,10,693056,676.81250000000000000000
1000,10,4,64,2,0.2,0.2,1e-05,1e-06,10,831696,812.20312500000000000000
5000,10,4,64,2,0.2,0.2,1e-05,1e-06,10,893520,872.57812500000000000000
10000,10,4,64,2,0.2,0.2,1e-05,1e-06,10,856912,836.82812500000000000000
50000,10,4,64,2,0.2,0.2,1e-05,1e-06,10,865552,845.26562500000000000000
1e+05,10,4,64,2,0.2,0.2,1e-05,1e-06,10,850032,830.10937500000000000000
100,50,4,64,2,0.2,0.2,1e-05,1e-06,10,695728,679.42187500000000000000
1000,50,4,64,2,0.2,0.2,1e-05,1e-06,10,833440,813.90625000000000000000
5000,50,4,64,2,0.2,0.2,1e-05,1e-06,10,852752,832.76562500000000000000
10000,50,4,64,2,0.2,0.2,1e-05,1e-06,10,851232,831.28125000000000000000
50000,50,4,64,2,0.2,0.2,1e-05,1e-06,10,848640,828.75000000000000000000
1e+05,50,4,64,2,0.2,0.2,1e-05,1e-06,10,867952,847.60937500000000000000
100,100,4,64,2,0.2,0.2,1e-05,1e-06,10,693312,677.06250000000000000000
1000,100,4,64,2,0.2,0.2,1e-05,1e-06,10,844496,824.70312500000000000000
5000,100,4,64,2,0.2,0.2,1e-05,1e-06,10,833584,814.04687500000000000000
10000,100,4,64,2,0.2,0.2,1e-05,1e-06,10,837248,817.62500000000000000000
