nrow,nfeatures,n_blocks,d_token,residual_dropout,attention_dropout,ffn_dropout,ffn_d_hidden_multiplier,lr,weight_decay,epochs,rss_kb,rss_mib
1e+05,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,835424,815.84375000000000000000
100,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,751904,734.28125000000000000000
1000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,814048,794.96875000000000000000
5000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,846224,826.39062500000000000000
10000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,866608,846.29687500000000000000
50000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,850160,830.23437500000000000000
1e+05,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,854896,834.85937500000000000000
100,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,800448,781.68750000000000000000
1000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,966208,943.56250000000000000000
5000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1003040,979.53125000000000000000
10000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,989888,966.68750000000000000000
50000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,997664,974.28125000000000000000
1e+05,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1066128,1041.14062500000000000000
100,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,885568,864.81250000000000000000
1000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,940768,918.71875000000000000000
5000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1090672,1065.10937500000000000000
10000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1067136,1042.12500000000000000000
50000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1130544,1104.04687500000000000000
1e+05,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1161984,1134.75000000000000000000
100,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,975920,953.04687500000000000000
1000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1076320,1051.09375000000000000000
5000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1140800,1114.06250000000000000000
10000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1161712,1134.48437500000000000000
50000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1208144,1179.82812500000000000000
1e+05,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1277008,1247.07812500000000000000
100,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,945904,923.73437500000000000000
1000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1165392,1138.07812500000000000000
5000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1275008,1245.12500000000000000000
10000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1182256,1154.54687500000000000000
50000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1199040,1170.93750000000000000000
1e+05,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1272208,1242.39062500000000000000
100,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,701952,685.50000000000000000000
1000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,825952,806.59375000000000000000
5000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,860592,840.42187500000000000000
10000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,861520,841.32812500000000000000
50000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,848192,828.31250000000000000000
1e+05,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,837072,817.45312500000000000000
100,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,741024,723.65625000000000000000
1000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,881088,860.43750000000000000000
5000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,882128,861.45312500000000000000
10000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,875232,854.71875000000000000000
50000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,906624,885.37500000000000000000
1e+05,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,878160,857.57812500000000000000
100,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,879984,859.35937500000000000000
1000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1050512,1025.89062500000000000000
5000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1125680,1099.29687500000000000000
10000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1114240,1088.12500000000000000000
50000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1096656,1070.95312500000000000000
1e+05,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1160176,1132.98437500000000000000
100,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1007248,983.64062500000000000000
1000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1264752,1235.10937500000000000000
5000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1377888,1345.59375000000000000000
10000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1224224,1195.53125000000000000000
50000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1291904,1261.62500000000000000000
1e+05,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1327680,1296.56250000000000000000
100,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1008944,985.29687500000000000000
1000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1248448,1219.18750000000000000000
5000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1289360,1259.14062500000000000000
10000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,1327424,1296.31250000000000000000
