"","nrow","nfeatures","n_blocks","d_token","residual_dropout","attention_dropout","ffn_dropout","ffn_d_hidden_multiplier","lr","weight_decay","epochs"
"150",1e+05,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"151",100,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"152",1000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"153",5000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"154",10000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"155",50000,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"156",1e+05,10,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"157",100,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"158",1000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"159",5000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"160",10000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"161",50000,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"162",1e+05,50,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"163",100,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"164",1000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"165",5000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"166",10000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"167",50000,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"168",1e+05,100,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"169",100,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"170",1000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"171",5000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"172",10000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"173",50000,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"174",1e+05,500,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"175",100,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"176",1000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"177",5000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"178",10000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"179",50000,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"180",1e+05,1000,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"181",100,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"182",1000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"183",5000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"184",10000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"185",50000,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"186",1e+05,1,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"187",100,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"188",1000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"189",5000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"190",10000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"191",50000,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"192",1e+05,10,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"193",100,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"194",1000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"195",5000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"196",10000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"197",50000,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"198",1e+05,50,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"199",100,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
