task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
electricity,bacc,0.0493246387590207,0.94914074698292,0.133680419418124,0.988691474164706,0.899019777685039,-2.58681974485511,11,0.950551176606677,0.917381404549815,-6.06926318034326,-5.2561716622316,0.977306249248795
eucalyptus,bacc,0.266364309514994,0.708792984792985,0.778421538691663,0.928310093946458,0.66115971008069,-0.173157273810383,2,0.759075415995903,0.645579078025185,0.410794152576038,-0.249442277395785,0.610572500946
fabert,bacc,0.264298416874093,0.714460921045072,0.800795020172752,0.950245114812794,0.683485570012793,-2.19526120758824,9,0.993102302006446,0.803044214169495,-6.14678573982464,-5.03770009031844,0.670404189173132
first-order-theorem-proving,bacc,0.35534295005509,0.539713745485978,1.24531566222596,0.863006608385311,0.519748787086332,-0.837988738982587,10,0.805860492144711,0.887532994523644,2.06343116579871,-5.97438983510939,0.875496832397766
guillermo,bacc,0.14635,0.834143733945475,0.398820934752844,0.912232913675234,0.693472207891699,-2.24802893710786,9,0.96344333011657,0.699489139625803,-2.86095973212028,-4.20295157964842,0.973095563310198
har,bacc,0.00417494598394143,0.995978751857939,0.0171434532003026,0.999946184355328,0.994981704052112,-1.01882529816486,3,0.950791282719001,0.423536147456616,-3.07895821167317,-5.38165118977596,0.924171319650486
higgs,bacc,0.264905660377359,0.733793488495854,0.523890909621458,0.813352448473523,0.46805583090375,-3.14085785734041,10,0.736791659961455,0.686299505038187,4.0011686732672,-4.41680700854499,0.960296370764263
ilpd,bacc,0.226329631794272,0.755233739837398,0.99733156629262,0.772630576620892,0.486837267307137,-0.0168617579881545,1,0.167384602944367,0.689320391765796,-5.61048472762344,-2.85671126139989,0.226015295204707
jannis,bacc,0.271171536360105,0.561433930282377,0.675958809311764,0.864206959952752,0.569865784825892,-2.65726612768833,11,0.94698908443097,0.701253621815704,-6.71559349986329,2.36754725805402,0.824908361863345
jasmine,bacc,0.164223025296851,0.835787472035794,0.424529579678078,0.882561416152426,0.687793720190931,-2.66919452229044,10,0.881894283741713,0.219936576206237,-6.7924697008278,-5.98094136093463,0.731650794832967
jm1,bacc,0.21185332604116,0.634768838916972,0.865143394400314,0.675551666973942,0.286043763116576,-0.613084946082509,8,0.872895712009631,0.505693687312305,-6.40382942047621,-2.44171791433577,0.402562065888196
jungle_chess_2pcs_raw_endgame_complete,bacc,0.127535234543271,0.829748240258901,0.268995687466416,0.975887469407867,0.777905052042745,-0.130831708346624,3,0.974209069181234,0.931022910261527,-1.13579978789944,-3.86558664959744,0.767541398038156
kc1,bacc,0.156479350033852,0.734550208118153,0.907427861229965,0.752646346674009,0.442867140522275,-0.121457317688296,3,0.663008204218932,0.886141118314117,-3.93721382367677,-6.48726809682498,0.364909324492328
kc2,bacc,0.137844702467344,0.849418751979728,0.59247598438727,0.830878735086052,0.637756919569149,-0.414816442848958,11,0.626646522548981,0.316727174306288,-3.96876592050715,-3.12208230042758,0.109254468092695
kr-vs-kp,bacc,0.0028144592476489,0.997193654486692,0.02831591609049,0.999517721522898,0.994402032045533,-0.00480074151646964,8,0.950526896538213,0.962999544176273,-6.72933289009048,-3.98509933975539,0.594027144811116
madelon,bacc,0.121153846153846,0.878846153846154,0.381543355271008,0.928360946745562,0.758141051587251,-3.35337717465971,9,0.853094722842798,0.379460639902391,-4.08038096458075,-5.91735372365598,0.936281221150421
mfeat-factors,bacc,0.02,0.98,0.124545505021275,0.9995,0.9778726552408,-1.42526122870461,1,0.279282875335775,0.179775388725102,-4.5611542442851,-5.57234467613232,0.250196314090863
mfeat-fourier,bacc,0.131,0.869,0.605817209550583,0.988161111111111,0.855025708648332,-2.53602475499015,8,0.389155737939291,0.82153022584971,-3.7567561066919,-6.54147079757889,0.975916832499206
mfeat-karhunen,bacc,0.029,0.971,0.193211095981701,0.999422222222222,0.96791932183495,-1.94621622558134,7,0.443632036123192,0.347315889531281,-5.90576617425494,-2.87200572537055,0.45084641063388
mfeat-morphological,bacc,0.2355,0.7645,0.675255066152577,0.971077777777778,0.740216406885858,-0.601798800695972,1,0.992040604678914,0.854549463326111,-0.688388350972609,-5.02466101188476,0.223158509167843
mfeat-pixel,bacc,0.0155,0.9845,1.43826515351251,0.999783333333333,0.982853917198918,-4.1420390814395,11,0.159430472925305,0.685924627771601,-3.88143352435385,-4.23736741076613,0.960016335360706
mfeat-zernike,bacc,0.176,0.824,0.507041926010472,0.980933333333333,0.805061203041178,-1.41175831067404,2,0.898523500189185,0.846395117300563,-6.29500418186644,-6.81749159194964,0.15338779212907
mnist_784,bacc,0.0179571428571429,0.981926485547482,0.061752125902397,0.9998290259216,0.980045348898586,-2.60122167347049,5,0.4706113508204,0.907834582589567,-4.65205377452648,-2.96748365906261,0.836453969124705
