task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
cnae-9,logloss,0.0546296296296296,0.94537037037037,0.184602260212593,0.99795524691358,0.939061977188143,-1.58362760561177,5,0.198777559643378
connect-4,logloss,0.123540151167545,0.732748488920111,0.309926789704035,0.946427052523245,0.744816129786786,-1.07334597681501,11,405.55211346056
credit-approval,logloss,0.131884057971015,0.867544077314875,0.286344401074862,0.948879746927285,0.736217549711226,-0.536980085903205,7,622.026669649574
credit-g,logloss,0.218,0.695714285714286,0.465674524120545,0.817428571428571,0.441444587268084,-1.31420006054752,3,28.3499900738683
cylinder-bands,logloss,0.142592592592593,0.844412413935994,0.328425538178745,0.922252127693485,0.708502644197474,-1.82326993278385,8,167.399431112174
diabetes,logloss,0.217498291182502,0.74440170940171,0.445415986046583,0.856205128205128,0.510098705783303,-1.33910430985161,10,1.58962703873124
dilbert,logloss,0.0063,0.993735181110567,0.0196398054344688,0.999949702420014,0.992139552752274,-1.94989244439392,7,1.07848186500883
dna,logloss,0.0323288184381223,0.967552630206403,0.101853421763132,0.996603936377075,0.947891194562785,-4.30796369544281,10,1.01644955714443
dresses-sales,logloss,0.33,0.634729064039409,0.625870275920474,0.687027914614122,0.301470545745434,-0.227241615428191,4,180.42464718522
electricity,logloss,0.0530763994551217,0.945287871200837,0.138215882384695,0.987820742314893,0.891350760408612,-2.45280143337177,9,4.37000747829047
eucalyptus,logloss,0.29626064420585,0.6681665001665,0.685331656894152,0.932100288600289,0.621651557145451,-2.432874551557,4,0.0274551225993782
fabert,logloss,0.264418743880428,0.71397737823182,0.737801902510471,0.956738386729368,0.683386640589652,-3.79866158254478,11,0.570427980650915
first-order-theorem-proving,logloss,0.370548388477049,0.505288987443961,1.03326908738596,0.868131665357314,0.494801838962789,-2.77792217504619,11,191.036060330723
har,logloss,0.00553435798730033,0.994706885900107,0.0142324453642754,0.999959300584148,0.993350843289923,-3.06536682384331,9,0.185706460379763
higgs,logloss,0.26511983681795,0.733403656951481,0.519430161792792,0.816692637476553,0.467492954533261,-4.13518953718153,11,94.2211112227745
ilpd,logloss,0.262361192285213,0.621815860490538,0.464653818621888,0.812375742980119,0.27438879521764,-1.8555752042318,10,2.87819341985323
jannis,logloss,0.270299667825241,0.551535564432448,0.668838750973557,0.871453955279219,0.570849210852493,-4.37947957098593,9,4.24760876415111
jasmine,logloss,0.181314673071312,0.818695749440716,0.386214646814255,0.888616849090882,0.656416524313874,-4.43377681944506,11,20.8288793247533
jm1,logloss,0.181074616485713,0.580061131366307,0.419460424578122,0.761295186707338,0.262777270626733,-4.37738257603133,11,10.0841391041176
jungle_chess_2pcs_raw_endgame_complete,logloss,0.126107215940058,0.824376588151924,0.225096653055923,0.980198744626058,0.779970889438515,-2.53822507112889,6,81.3867471688017
kc1,logloss,0.128970886932972,0.635479574081788,0.322034304649039,0.836013006136311,0.392977863565162,-3.91832475676422,11,3.62215107645723
kc2,logloss,0.149600870827286,0.725855770246014,0.328905444037405,0.865068894520114,0.516311577943425,-0.338852481041983,6,80.2754897602468
kr-vs-kp,logloss,0.00344239811912226,0.99653790973265,0.0111243485705576,0.999819143961818,0.993162336669422,-0.33363721636937,11,44.3270778255656
madelon,logloss,0.131538461538462,0.868461538461539,0.311975943228737,0.93989349112426,0.737175355957509,-2.27819023568263,9,102.031634829151
mfeat-factors,logloss,0.02,0.98,0.0764777469290919,0.999694444444444,0.977875019975621,-3.41809564340888,7,0.474136074816343
mfeat-fourier,logloss,0.15,0.85,0.369845784613771,0.988122222222222,0.833906899776024,-4.8014300455855,5,1.15047419218742
mfeat-karhunen,logloss,0.0275,0.9725,0.0873389647878202,0.999744444444444,0.969570801712782,-2.4116061300272,7,0.0658651554728858
mfeat-morphological,logloss,0.271,0.729,0.591599344989663,0.971688888888889,0.699792702151634,-4.87994387951823,8,1.43976877160021
mfeat-pixel,logloss,0.018,0.982,0.064527011355115,0.99985,0.980084395989053,-3.37611777630277,8,0.0756347195110284
mfeat-zernike,logloss,0.2035,0.7965,0.425197591930355,0.979302777777778,0.774255833738205,-2.94544862847539,3,3.59502074566647
nomao,logloss,0.0246916704508585,0.96878625617923,0.0655091934309928,0.996582950574471,0.939414753002705,-3.04891234827764,8,21.6249313887965
numerai28.6,logloss,0.476920681063123,0.52198619857648,0.691325332630857,0.532772260486938,0.0449928262233297,-3.21938809631164,8,858.610319733773
optdigits,logloss,0.0129893238434164,0.98702536513698,0.038949166765743,0.999914994599462,0.985598588255348,-2.97311993331493,9,0.737611857142532
ozone-level-8hr,logloss,0.0509072235535775,0.649333736659221,0.136480727499272,0.933326131085346,0.445666965855334,-3.03936675817588,8,9.53694409939623
pc1,logloss,0.0577231777231777,0.636707164195028,0.166914823435927,0.890648671716633,0.393564249328561,-1.15594200675291,9,998.282181419894
pc3,logloss,0.0934060101257553,0.568675911854103,0.237792296602763,0.870347327760891,0.282142497576447,-2.6018985936091,9,1.03675842255889
pc4,logloss,0.0733821445441663,0.764453125,0.163368497032298,0.960097528594771,0.62089400714872,-1.06663075122226,5,16.4598629989072
pendigits,logloss,0.00436636611795847,0.995623838102228,0.017819606163152,0.999944436362537,0.995152331522409,-4.60515717990201,11,0.552256265577395
phoneme,logloss,0.0851194632710344,0.892048468477745,0.209987471321975,0.9672242494376,0.792993457480727,-4.60786699632813,11,0.444006888334174
qsar-biodeg,logloss,0.116540880503145,0.863935472739821,0.283967053538323,0.941412205461895,0.737728212684447,-0.660327198055597,4,517.92311516446
satimage,logloss,0.0765163297045101,0.903704073065556,0.19808043963195,0.993810859562229,0.905650912294407,-4.14887101601448,10,0.872210186317796
segment,logloss,0.0593073593073593,0.940692640692641,0.146618096950455,0.997168656259565,0.931058442092753,-3.69347051833877,9,2.28371894058841
semeion,logloss,0.0420400943396226,0.957975490196078,0.135927223429083,0.999133578431373,0.95355336958932,-4.63635726481462,10,0.0805679302555509
shuttle,logloss,8.62068965517241e-05,0.981997621839067,0.000172939847837588,1,0.999757533862786,-1.04857591107582,9,0.518941260583932
sick,logloss,0.00662919456022904,0.96394620486367,0.0180704664291465,0.998936702174893,0.941727603284149,-2.87239724776205,10,148.494399663145
spambase,logloss,0.0404201641044987,0.957295662096452,0.112921766477062,0.990375758601777,0.915498058019907,-3.4226977665509,11,4.22297949763341
splice,logloss,0.031974921630094,0.968064447354238,0.0997857936107764,0.996522964618889,0.948443394684167,-5.40223075569747,9,0.311839308647905
steel-plates-fault,logloss,0.180851176315094,0.828001144467373,0.470076891781659,0.980832821987663,0.767281250904674,-2.17926738872032,8,41.8251145942863
sylvine,logloss,0.0448853252923977,0.955111563715953,0.119513514628997,0.990885385001216,0.911757544464007,-3.54489403311504,11,45.2794720180205
tic-tac-toe,logloss,0,1,0.00103919299334093,1,1,-2.39532414057466,9,0.019002214534441
vehicle,logloss,0.207955182072829,0.794680735930736,0.417346228374785,0.948531160398043,0.725594452078157,-2.23703928545048,3,0.0292560658270959
wall-robot-navigation,logloss,0.00201599623617972,0.997423617404267,0.00494361543283855,0.999998196162283,0.996964718758199,-0.54244171726233,11,20.7016770864083
wdbc,logloss,0.0193295739348371,0.978867243867244,0.0534515691293176,0.997366522366522,0.95904757940335,-1.14354579191957,5,51.1806437634351
wilt,logloss,0.0130178122272984,0.90996674997277,0.0362200273454051,0.993145739292051,0.866084354807281,-2.48684737912143,7,0.144913873912301
APSFailure,auc,0.00603947368421053,0.868768245138538,0.018104056975211,0.99394278498097,0.817429686119743,-2.58710833199904,11,27.3650478197932
Amazon_employee_access,auc,0.0444931987959147,0.694864655915781,0.132728247750797,0.907755346022958,0.510461666222089,-3.4951560150556,8,5.41135033825296
Australian,auc,0.133333333333333,0.867640067911715,0.33107298452861,0.95631890934947,0.736406773397111,-0.999564232529299,5,811.126759090741
Bioresponse,auc,0.187949645390071,0.808897154438528,0.434759366781987,0.886373111396061,0.621082096470769,-4.35376874866396,9,2.51767089550057
GesturePhaseSegmentationProcessed,auc,0.279143439613764,0.66755624620431,0.753116832713118,0.935939481482339,0.632590453058256,-0.503521926249639,11,749.712723301897
Internet-Advertisements,auc,0.0234849332438279,0.928918696680029,0.0836829921573772,0.990499023537877,0.900063757334485,-2.10136793152108,10,0.217295260707382
KDDCup09_appetency,auc,0.018,0.50375950343073,0.0729443660001442,0.853610445708899,0.0372734258578967,-3.49976784612039,11,13.7459917303517
MiceProtein,auc,0.0333333333333333,0.966668747918748,0.482063470681893,0.999896330775452,0.962284457826301,-0.797155507119549,11,6.37126206164705
PhishingWebsites,auc,0.0253274201598848,0.973775259542692,0.0596675723335138,0.997711388852546,0.948718173428505,-3.84015829630504,11,0.346200420677196
adult,auc,0.124094040071522,0.802189399822204,0.271914150382551,0.931232944657938,0.643411054488897,-3.0305969382197,6,0.305045782920904
analcatdata_authorship,auc,0.0963025210084034,0.718114976153606,1.3627297826936,1,0.861035298911053,-4.89369867487196,7,363.22563581181
analcatdata_dmft,auc,0.803053797468355,0.169848137973138,1.78847419210562,0.633494644422529,0.00689673572267245,-3.85000058128922,7,226.022369954973
balance-scale,auc,0.0527905785970302,0.773333333333333,0.183904290202245,0.999064039408867,0.90891425417719,-0.0886169991263581,1,0.213199773781002
bank-marketing,auc,0.0898453636335266,0.733107969205115,0.192182464535147,0.939300290764459,0.522851310215208,-5.55636711916089,9,0.831449730447028
banknote-authentication,auc,0.0116418068338094,0.98904816064005,0.0987784781376919,1,0.976879308459024,-3.47536149736121,7,217.682901378019
blood-transfusion-service-center,auc,0.225945945945946,0.542105263157895,0.522276934053982,0.784070060772847,0.165087937543346,-2.65786609854635,8,0.040598864951171
breast-w,auc,0.0300207039337474,0.966248792270531,0.258988544336977,0.998277657004831,0.934382271373603,-2.37949658838027,4,2.62613680502586
car,auc,0.0133082403548864,0.974285821833669,0.0670506480777061,1,0.971397749814188,-0.183887970326715,4,0.919496180112706
churn,auc,0.0396,0.88529259527458,0.14860477051804,0.939369228216919,0.829639744634218,-0.743783366707998,5,70.4847379218889
climate-model-simulation-crashes,auc,0.0814814814814815,0.5225,0.258626968375325,0.979255102040816,0.0915649512962398,-2.8883784942588,7,112.549528846182
cmc,auc,0.431048906048906,0.546795872270256,0.888359074024804,0.775736939429874,0.331108380891512,-0.570279694076346,3,2.48899270813866
cnae-9,auc,0.0518518518518519,0.948148148148148,0.350708529500578,0.998456790123457,0.942210057066848,-2.47957874081326,9,0.115849420898827
connect-4,auc,0.124087865094777,0.728462612163321,0.313372985372136,0.946048359695083,0.743177681986579,-0.458033733130433,11,802.395765600859
