task,measure,ce,bacc,logloss,auc,mcc,ranger.mtry.ratio,ranger.replace,ranger.sample.fraction,ranger.num.trees
ozone-level-8hr,ce,0.0544629796769475,0.597893841080736,0.155341002553455,0.903918244512995,0.370850342919446,0.819419422186911,TRUE,0.964640916953795,1000
pc1,ce,0.0577067977067977,0.607884348661048,0.189168303279995,0.855589192361037,0.39876200943006,0.941765531465411,TRUE,0.613038067608513,1000
pc3,ce,0.0908459905275192,0.611627406281662,0.288531733891852,0.848247847011145,0.350695783869939,0.576598293147981,FALSE,0.711041704914533,1000
pc4,ce,0.0829806329711856,0.744661458333333,0.205607991157396,0.948040492238562,0.567937779085302,0.32122743036598,FALSE,0.958398968772963,1000
pendigits,ce,0.00618578873355943,0.993856702872851,0.072274014542467,0.999931208540436,0.993133930970197,0.129873137222603,FALSE,0.99079910882283,1000
phoneme,ce,0.083264873006093,0.895758396760544,0.223047211407096,0.967014772871901,0.798062951432311,0.00151127320714295,FALSE,0.805284834769554,1000
qsar-biodeg,ce,0.123207547169811,0.851911663216011,0.312547632976587,0.933194658056459,0.721314560612792,0.542636039899662,TRUE,0.935341606242582,1000
riccardo,ce,0.0038,0.997466666666667,0.11366083180423,0.997928866666667,0.989976011525228,0.00162262539379299,FALSE,0.386557594174519,1000
robert,ce,0.5156,0.485047700494152,1.64773075844337,0.910278792581167,0.427769544461376,0.0251978687010705,FALSE,0.924229974742047,1000
satimage,ce,0.0757387247278383,0.901540755103344,0.239738346017549,0.993665353334793,0.906701945983746,0.280699664726853,FALSE,0.99153586155735,1000
segment,ce,0.0554112554112554,0.944588744588745,0.172769401267037,0.996702960339324,0.935540001914355,0.208469322882593,FALSE,0.849531170120463,1000
semeion,ce,0.0464544025157233,0.95344362745098,0.56336011854173,0.999229983660131,0.948720367640298,0.0159198844339699,FALSE,0.842989954887889,1000
shuttle,ce,5.17241379310345e-05,0.982854009337887,0.000774272530060755,0.999998931110042,0.999854546970898,0.296582253649831,FALSE,0.859417711244896,1000
sick,ce,0.00874910530082944,0.950801400147384,0.028557161633466,0.997425346519467,0.923121116534933,0.700976142892614,FALSE,0.876933199330233,1000
spambase,ce,0.0430279166273696,0.952251475448555,0.147086370580811,0.988386287528934,0.909910471908999,0.0577074403408915,FALSE,0.974053227598779,1000
splice,ce,0.0385579937304075,0.954268886894125,0.331204701400502,0.996634697409327,0.937324069931477,0.0547737432643771,FALSE,0.781750312284567,1000
steel-plates-fault,ce,0.187541633624108,0.818986008535725,0.551534354772251,0.980454666359605,0.758221927529399,0.34919900726527,FALSE,0.90308041383978,1000
sylvine,ce,0.049181438840156,0.950816208657588,0.144464585236718,0.984430228504225,0.903016177484314,0.633654609555379,FALSE,0.964418013440445,1000
tic-tac-toe,ce,0.0157017543859649,0.977361853832442,0.156269322544449,0.999808261525529,0.965728904392745,0.36020414205268,FALSE,0.969654016522691,1000
vehicle,ce,0.23172268907563,0.77086038961039,0.483392969001769,0.93505324869303,0.693024188898181,0.78823093092069,FALSE,0.798867409559898,1000
volkert,ce,0.292539873092094,0.616160498848707,0.885039136716416,0.964492141373824,0.653775959679091,0.484399594599381,FALSE,0.989506272762083,1000
