task,measure,ce,bacc,logloss,auc,mcc,kknn.k,kknn.distance
first-order-theorem-proving,bacc,0.411898954890194,0.490364626616645,8.28936409051042,0.793764344747623,0.453473518616627,1.13936436116357,1.16703582927585
har,bacc,0.014467812090162,0.986206471894517,0.0638144466195879,0.999545311896409,0.982628911769778,2.15551989316276,1.01844579260796
higgs,bacc,0.322019377868434,0.671005581015164,0.601744030791478,0.746056560458743,0.35398397763476,4.58732957316471,1.01524844113737
ilpd,bacc,0.329018118059614,0.627057072829132,11.3638832095353,0.627057072829132,0.241693426845344,0.578008059468563,1.10806437302381
jannis,bacc,0.337465557901875,0.489917471440998,0.829072009353,0.816272575054039,0.465653163931262,4.60398503595729,1.00049321353436
jasmine,bacc,0.209805616035555,0.790190156599553,0.448111465285647,0.85655838325601,0.609668334305271,4.54267642706383,1.16755018476397
jm1,bacc,0.226092391157565,0.626308054279345,7.80895454278182,0.626308054279345,0.258701580486755,0.297589525364532,1.6156462142244
jungle_chess_2pcs_raw_endgame_complete,bacc,0.142283458513565,0.787015097408674,0.369599576319294,0.972000085551561,0.749407779758463,3.87312422778446,1.00130240060389
kc1,bacc,0.159329722410291,0.658787740288137,2.61979506826501,0.71728468758738,0.344931344458522,1.12480661932372,1.27749207895249
kc2,bacc,0.147568940493469,0.735177911519375,1.3430261407721,0.819937176644494,0.527672568915082,2.41018399006392,2.81489028595388
kr-vs-kp,bacc,0.0441222570532915,0.955156618111459,0.191901192739081,0.990614062014854,0.911984691028683,3.04213798938866,1.04786410927773
madelon,bacc,0.374230769230769,0.625769230769231,0.648714935765193,0.697970414201183,0.263547319019815,4.58244266381657,1.00085812807083
mfeat-factors,bacc,0.0295,0.9705,0.354242789297241,0.999322222222222,0.967404386108141,2.11372016187612,1.70742534101009
mfeat-fourier,bacc,0.182,0.818,0.770862246097242,0.983977777777778,0.798832976746978,3.06359941829682,1.87545421539495
mfeat-karhunen,bacc,0.0405,0.9595,1.39882044399388,0.989872222222222,0.955370475831595,0.692825596639541,1.39784953693549
mfeat-morphological,bacc,0.2825,0.7175,1.46881043516259,0.969038888888889,0.686947088084128,2.56372654853722,1.73581802856177
mfeat-pixel,bacc,0.0205,0.9795,0.22436332989123,0.999741666666667,0.977317006829036,2.09301674675021,2.94415134545416
mfeat-zernike,bacc,0.1995,0.8005,0.603014408457132,0.980316666666667,0.778747654387485,3.06151805710918,3.92663144628207
nomao,bacc,0.0391989568932147,0.950859002481023,0.211085423798837,0.988965385146033,0.903776274735228,2.50588262530252,1.03546363860369
numerai28.6,bacc,0.486347591362126,0.513166195587737,0.700622081705497,0.517116227244424,0.0264445806248676,4.51917942743571,1.15063076093793
optdigits,bacc,0.0172597864768683,0.982720170331786,0.103199751423315,0.999692079295687,0.980889944013268,3.02513073246079,1.32088685128838
ozone-level-8hr,bacc,0.073794777629081,0.66043273321987,2.54878132364299,0.66043273321987,0.339955842851312,0.00434851678659748,2.0095352511853
pc1,bacc,0.0775593775593776,0.683724527899285,1.21675398608565,0.744916915608663,0.380360195783123,1.22109452773751,1.00087022222579
pc3,bacc,0.124746856116283,0.631504559270517,4.30860376936839,0.631504559270517,0.278228311988268,0.149368319076488,1.05905682779849
pc4,bacc,0.11108644307983,0.740091401143791,3.83678981804022,0.740091401143791,0.488438009528082,0.193101840342138,1.79038009326905
pendigits,bacc,0.00527636694515675,0.994730844749281,0.100583875139003,0.999479334989693,0.994140415232459,1.15323315617716,1.7548274979492
